date,bike_rides_daily,temp,month,season,start_station_name,value,rideable_type,ride_duration
2022-01-01,189.0,11.6,1,winter,28 St & 36 Ave,1,classic_bike,8
2022-01-02,436.0,11.4,1,winter,Centre St & Worth St,1,classic_bike,4
2022-01-03,341.0,1.4,1,winter,Allen St & Hester St,1,electric_bike,16
2022-01-04,362.0,-2.7,1,winter,Broad St & Bridge St,1,classic_bike,13
2022-01-05,321.0,3.2,1,winter,Front St & Jay St,1,classic_bike,20
2022-01-06,381.0,4.9,1,winter,S 5 Pl & S 5 St,1,electric_bike,9
2022-01-07,169.0,0.7,1,winter,E 7 St & Ave C,1,electric_bike,9
2022-01-08,247.0,-2.5,1,winter,E 82 St & East End Ave,1,electric_bike,4
2022-01-09,193.0,1.4,1,winter,Water St & Main St,1,electric_bike,28
2022-01-10,337.0,1.6,1,winter,Greenwich Ave & 8 Ave,1,classic_bike,42
2022-01-11,266.0,-5.4,1,winter,Bleecker St & Crosby St,1,electric_bike,10
2022-01-12,399.0,-1.9,1,winter,40 Ave & 9 St,1,classic_bike,13
2022-01-13,486.0,4.0,1,winter,28 St & 36 Ave,1,electric_bike,26
2022-01-14,465.0,4.8,1,winter,1 Ave & E 39 St,1,electric_bike,6
2022-01-15,211.0,-6.7,1,winter,Cleveland Pl & Spring St,1,electric_bike,4
2022-01-16,209.0,-8.0,1,winter,Pike St & Monroe St,1,classic_bike,2
2022-01-17,295.0,3.9,1,winter,Wilson Ave & Troutman St,1,electric_bike,29
2022-01-18,455.0,1.8,1,winter,W 37 St & 5 Ave,1,electric_bike,2
2022-01-19,542.0,3.2,1,winter,N 12 St & Bedford Ave,1,classic_bike,9
2022-01-20,312.0,5.1,1,winter,Cooper Square & Astor Pl,1,electric_bike,7
2022-01-21,335.0,-6.0,1,winter,St Johns Pl & Washington Ave,1,classic_bike,16
2022-01-22,320.0,-5.9,1,winter,Riverside Dr & W 91 St,1,classic_bike,5
2022-01-23,286.0,-0.7,1,winter,Wyckoff Av & Jefferson St,1,classic_bike,4
2022-01-24,413.0,-0.2,1,winter,Grand Army Plaza & Central Park S,1,electric_bike,20
2022-01-25,513.0,3.6,1,winter,W 37 St & 5 Ave,1,classic_bike,5
2022-01-26,407.0,-2.3,1,winter,1 Ave & E 39 St,1,electric_bike,15
2022-01-27,401.0,-4.2,1,winter,Wythe Ave & Metropolitan Ave,1,electric_bike,7
2022-01-28,330.0,0.1,1,winter,W 26 St & 8 Ave,1,classic_bike,20
2022-01-29,29.0,-4.8,1,winter,Central Park S & 6 Ave,1,electric_bike,53
2022-01-30,109.0,-7.1,1,winter,1 Ave & E 62 St,1,electric_bike,32
2022-01-31,228.0,-3.4,1,winter,Broadway & W 131 St,1,classic_bike,26
2022-02-01,259.0,-1.7,2,winter,Riverside Blvd & W 67 St,1,classic_bike,9
2022-02-02,333.0,2.3,2,winter,11 Ave & W 59 St,1,classic_bike,5
2022-02-03,196.0,6.4,2,winter,W 36 St & 7 Ave,1,classic_bike,13
2022-02-04,186.0,5.8,2,winter,Vesey Pl & River Terrace,1,classic_bike,3
2022-02-05,273.0,-2.8,2,winter,West Drive & Prospect Park West,1,classic_bike,7
2022-02-06,233.0,-4.8,2,winter,Sterling Pl & Bedford Ave,1,electric_bike,40
2022-02-07,266.0,0.5,2,winter,Old Fulton St,1,classic_bike,3
2022-02-08,416.0,4.1,2,winter,E 4 St & 2 Ave,1,classic_bike,6
2022-02-09,445.0,2.8,2,winter,2 Ave & 36 St,1,electric_bike,20
2022-02-10,564.0,6.3,2,winter,Douglass St & 4 Ave,1,classic_bike,8
2022-02-11,564.0,8.6,2,winter,Water St & Gouverneur Ln,1,classic_bike,20
2022-02-12,574.0,11.8,2,winter,Grand St & Samuel Dickstein Plaza,1,electric_bike,22
2022-02-13,172.0,2.8,2,winter,Motorgate,1,classic_bike,4
2022-02-14,299.0,-4.3,2,winter,Driggs Ave & Lorimer St,1,classic_bike,5
2022-02-15,365.0,-4.7,2,winter,Carroll St & 6 Ave,1,classic_bike,5
2022-02-16,474.0,1.6,2,winter,5 Ave & 41 St,1,classic_bike,7
2022-02-17,527.0,11.6,2,winter,President St & 4 Ave,1,electric_bike,4
2022-02-18,370.0,9.9,2,winter,W 18 St & 6 Ave,1,electric_bike,5
2022-02-19,304.0,0.1,2,winter,Van Brunt St & Van Dyke St,1,classic_bike,27
2022-02-20,269.0,-2.6,2,winter,Congress St & Clinton St,1,electric_bike,12
2022-02-21,419.0,4.1,2,winter,Water St & Gouverneur Ln,1,electric_bike,10
2022-02-22,316.0,5.6,2,winter,Little West St & 1 Pl,1,classic_bike,3
2022-02-23,571.0,14.4,2,winter,E 40 St & Park Ave,1,classic_bike,8
2022-02-24,353.0,1.1,2,winter,LaGuardia Pl & W 3 St,1,classic_bike,16
2022-02-25,274.0,0.8,2,winter,Vesey Pl & River Terrace,1,classic_bike,16
2022-02-26,348.0,-1.1,2,winter,Greenwich Ave & Charles St,1,classic_bike,3
2022-02-27,329.0,2.4,2,winter,Broadway & W 153 St,1,electric_bike,11
2022-02-28,368.0,0.8,2,winter,E 4 St & 2 Ave,1,classic_bike,22
